department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,2464,Religion and Science,Ellerbrock,40405,3,3.54,29,72.4,20.7,3.4,3.4,0.0,0
AHRM,2304,Family Financial Management,Solis,40253,3,3.22,20,50.0,35.0,10.0,0.0,5.0,0
AHRM,2404,Consumer Rights,Fisher,40254,3,3.76,16,81.3,18.8,0.0,0.0,0.0,0
BC,1214,Intro to BC I,Goldsmith,40360,3,3.78,22,81.8,18.2,0.0,0.0,0.0,0
BIOL,1105,Principles of Biology,Lipscomb,40259,3,2.80,44,29.5,36.4,20.5,11.4,2.3,0
BIOL,1106,Principles of Biology,Hogan,40260,3,2.74,40,20.0,47.5,22.5,7.5,2.5,0
BIOL,2104,Cell and Molecular Biology,Finkielstein,40261,3,3.21,41,43.9,41.5,9.8,2.4,2.4,0
BIT,2405,Quantitative Methods,Major,40262,3,3.07,49,36.7,42.9,16.3,4.1,0.0,0
BIT,2406,Quantitative Methods,Nottingham,40263,3,2.94,20,35.0,40.0,20.0,0.0,5.0,0
BIT,2406,Quantitative Methods,Nottingham,40264,3,2.91,12,0.0,83.3,16.7,0.0,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Deane,40265,3,2.95,37,27.0,40.5,29.7,2.7,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Rakes,40267,3,3.55,13,76.9,7.7,15.4,0.0,0.0,0
BIT,3444,Adv Bus Comp and App,Wang,40268,3,3.47,15,73.3,20.0,0.0,0.0,6.7,0
BIT,4434,Comp Sim In Bus,Rees,40270,3,3.97,10,100.0,0.0,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,40271,3,3.10,24,25.0,54.2,20.8,0.0,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Deane,40416,3,3.04,30,33.3,40.0,23.3,3.3,0.0,0
CEE,3014,Construction Management,Simmons,40407,3,3.91,10,100.0,0.0,0.0,0.0,0.0,1
CEE,3604,Intro Transport Engr,Katz,40272,3,3.21,36,55.6,27.8,8.3,2.8,5.6,0
CHE,2124,ChE Simulations,Goldstein,40387,2,3.40,23,47.8,43.5,8.7,0.0,0.0,0
CHEM,1035,General Chemistry,Spencer,40409,3,2.36,21,23.8,14.3,38.1,19.0,4.8,1
CHEM,2535,Organic Chemistry,Bump,40410,3,2.57,28,21.4,32.1,28.6,14.3,3.6,1
CLA,1134,Ancient Mediterranean World,Steer,40273,3,3.52,13,61.5,38.5,0.0,0.0,0.0,0
CLA,2444,Greek and Roman Myth,Phillips,40274,3,3.67,24,79.2,12.5,8.3,0.0,0.0,0
COMM,1014,Intro to Comm Studies,Kuypers,40275,3,2.32,19,21.1,36.8,21.1,0.0,21.1,0
COMM,2004,Public Speaking,Conner,40276,3,3.26,17,35.3,58.8,5.9,0.0,0.0,1
COMM,2004,Public Speaking,Sowder,40277,3,3.22,18,38.9,55.6,0.0,0.0,5.6,0
COMM,2044,Principles of Public Relations,Myers,40278,3,3.71,10,80.0,20.0,0.0,0.0,0.0,0
COMM,3014,Public Relations Cases,Watkins,40280,3,3.06,10,40.0,40.0,10.0,0.0,10.0,0
COMM,3124,Interpersonal Communication,Preston,40282,3,3.19,16,43.8,37.5,12.5,6.3,0.0,0
COMM,4024,Communication Law,Hopkins,40284,3,2.55,19,5.3,57.9,26.3,10.5,0.0,1
COMM,2004,Public Speaking,Foster,40420,3,3.41,14,35.7,57.1,7.1,0.0,0.0,0
COMM,2004,Public Speaking,Bartos,40404,3,3.50,16,56.3,37.5,6.3,0.0,0.0,0
CRIM,3474,Women and Crime,Peguero,40286,3,3.74,22,72.7,27.3,0.0,0.0,0.0,0
ENGL,1614,Introduction to Short Fiction,Kinder,40288,3,3.52,19,57.9,42.1,0.0,0.0,0.0,0
ENGL,1644,Intro to World Literature,Canter,40290,3,3.85,11,90.9,9.1,0.0,0.0,0.0,0
ENGL,1654,Intro to Science Fiction,Barton,40291,3,3.51,17,70.6,11.8,11.8,5.9,0.0,0
ENGL,2744,Intro Creative Writ,Voros,40292,3,3.56,16,68.8,18.8,12.5,0.0,0.0,0
ENGL,3764,Technical Writing,Lewis,40295,3,2.92,17,41.2,29.4,11.8,11.8,5.9,0
ENGL,3764,Technical Writing,Hutchison,40296,3,3.36,18,72.2,11.1,5.6,11.1,0.0,0
ENGL,3764,Technical Writing,Grant,40297,3,3.90,16,93.8,6.3,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Gardner,40298,3,3.61,17,70.6,23.5,5.9,0.0,0.0,0
ENGL,3774,Business Writing,Lama,40299,3,3.64,17,76.5,23.5,0.0,0.0,0.0,0
ENGL,3774,Business Writing,Hayek,40300,3,3.67,19,73.7,26.3,0.0,0.0,0.0,0
ENGL,3774,Business Writing,Frost,40301,3,3.74,18,77.8,22.2,0.0,0.0,0.0,0
ENGL,3774,Business Writing,Collins,40302,3,3.51,17,70.6,17.6,5.9,0.0,5.9,0
ENGL,3764,Technical Writing,Oakey,40423,3,3.80,14,92.9,7.1,0.0,0.0,0.0,0
ENSC,1016,Found Envrion Science,Eick,40304,3,3.36,16,50.0,43.8,6.3,0.0,0.0,0
ESM,2104,Statics,Hendricks,40366,3,2.30,41,31.7,17.1,19.5,12.2,19.5,2
FIN,4984,SS:Wells Fargo Practicum,Hart,40305,3,4.00,22,100.0,0.0,0.0,0.0,0.0,0
GEOG,3254,Geography of East Asia,Boyer,40390,3,3.88,31,90.3,9.7,0.0,0.0,0.0,0
GEOG,3954,Study Abroad,Campbell,40391,3,3.92,22,90.9,9.1,0.0,0.0,0.0,0
GEOG,3954,Study Abroad,Juran,40392,3,3.92,21,90.5,9.5,0.0,0.0,0.0,0
HD,1004,Human Development I,Komelski,40307,3,3.83,32,90.6,3.1,6.3,0.0,0.0,1
HD,2314,Human Sexuality,Lavender-Stott,40308,3,3.81,17,88.2,11.8,0.0,0.0,0.0,0
HIST,1024,Ancient History,Becker,40310,3,3.36,22,59.1,27.3,13.6,0.0,0.0,0
HIST,3334,The Renaissance,Alexander,40313,3,3.14,10,40.0,40.0,20.0,0.0,0.0,0
HNFE,2204,Medical Terminology,Eaton,40315,3,3.92,38,89.5,10.5,0.0,0.0,0.0,0
HORT,2184,Plants Places Culture Globally,Niemiera,40320,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
HTM,2454,Travel & Tourism Management,Perdue,40316,3,3.52,13,61.5,30.8,7.7,0.0,0.0,0
HUM,1604,Intro Hum and Arts,Gabriele,40321,3,3.44,13,46.2,53.8,0.0,0.0,0.0,0
MGT,3064,Cornerstones Entrepreneurship,Townsend,40323,3,3.45,17,47.1,47.1,5.9,0.0,0.0,1
MGT,3304,Mgt Th & Lead Pract,Deck,40324,3,2.72,28,10.7,57.1,32.1,0.0,0.0,1
MGT,3954,Study Abroad,Clevenger,40326,3,3.90,20,90.0,10.0,0.0,0.0,0.0,0
MKTG,3104,Marketing Management,Wertalik,40328,3,3.72,92,81.5,14.1,3.3,0.0,1.1,0
MTRG,3524,Meteorology Field Methods,Carroll,40395,3,4.00,13,100.0,0.0,0.0,0.0,0.0,0
MUS,1104,Music Appreciation,Crafton,40425,3,3.73,56,83.9,8.9,5.4,1.8,0.0,0
MUS,1005,Theory/Fundamentals,Paglialonga,40329,3,3.63,22,86.4,4.5,4.5,0.0,4.5,0
MUS,1104,Music Appreciation,Paglialonga,40330,3,3.96,95,96.8,3.2,0.0,0.0,0.0,0
NR,3954,Issues in NR Conserv in Panama,McGee,40332,3,3.93,14,92.9,7.1,0.0,0.0,0.0,0
PHS,1514,Personal Health,Redican,40336,3,4.00,68,100.0,0.0,0.0,0.0,0.0,0
PHS,3534,Drug Education,Redican,40337,3,4.00,59,100.0,0.0,0.0,0.0,0.0,0
PHYS,2205,General Physics,Takeuchi,40371,3,3.14,16,37.5,43.8,12.5,6.3,0.0,0
PSCI,1024,Comp Gov & Politics,Nelson,40339,3,2.79,15,46.7,26.7,6.7,6.7,13.3,1
PSCI,3116,Selected World Problems,Peters,40341,3,3.59,14,71.4,28.6,0.0,0.0,0.0,0
PSYC,2074,Animal Behavior,Hoffman,40379,3,3.78,26,84.6,15.4,0.0,0.0,0.0,0
PSYC,4984,SS:Motivation of Self & Others,Jones,40380,3,3.78,16,87.5,6.3,6.3,0.0,0.0,0
REAL,2984,SS:Prncpls Real Estate Sales,Ryan,40382,1,3.22,18,33.3,55.6,5.6,5.6,0.0,0
RLCL,1034,Religion and the Modern World,Dresser,40343,3,3.22,14,57.1,21.4,14.3,7.1,0.0,1
SBIO,3954,Study Abroad,Quesada Pineda,40345,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
SOC,1004,Introductory Sociology,Brunsma,40346,3,3.43,25,64.0,20.0,16.0,0.0,0.0,0
SOC,1004,Introductory Sociology,Fuller,40347,3,3.22,12,50.0,25.0,16.7,8.3,0.0,1
SOC,2004,Social Problems,Vogt Yuan,40348,3,3.52,14,50.0,50.0,0.0,0.0,0.0,0
SPAN,3534,Spanish Business Professions,Cana Jimenez,40352,3,3.16,16,56.3,25.0,6.3,0.0,12.5,0
UH,3004,TS:Virtual Envirn for ART,Duer,40355,3,3.92,17,94.1,5.9,0.0,0.0,0.0,0
WGS,1824,Intro Women's & Gender Studies,King,40356,3,2.61,11,18.2,36.4,36.4,9.1,0.0,0

